,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
149,"As If It's Your Last",BLACKPINK,24310,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
150,不為誰而作的歌,"JJ Lin",24279,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
151,"Nice For What",Drake,24224,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
152,Elevate,Drake,24070,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
153,人質,"A-Mei Chang",24012,https://open.spotify.com/track/6OAUhxFZzaRHHC8XiuIkvb
154,Faded,"Alan Walker",23937,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
155,"Boo'd Up","Ella Mai",23866,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
156,"the light is coming (feat. Nicki Minaj)","Ariana Grande",23371,https://open.spotify.com/track/5iZ4hcpCgFVijq5OOjBTKZ
157,"I Like Me Better",Lauv,23308,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
158,Perfect,"Ed Sheeran",23277,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
159,"Jump (with Trippie Redd)","Julia Michaels",23169,https://open.spotify.com/track/2OvV4NjEBRE9v8Oo7QeUCq
160,男人KTV,"Tiger Hu",23139,https://open.spotify.com/track/010TvPu6fgBJL4usanmgAU
161,"Without You (feat. Sandro Cavazza)",Avicii,23004,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
162,以後別做朋友,"Eric Chou",22891,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
163,壞的好人,"A-Mei Chang",22683,https://open.spotify.com/track/44lPjrvWeSnzo0VvobFfOo
164,拋物線,"Tanya Chua",22674,https://open.spotify.com/track/2oZJWtQZ6CLPHHsnUhC3IY
165,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",22672,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
166,當你,"Cyndi Wang",22633,https://open.spotify.com/track/6vaDtpLtwuSY1H3KHWuRmB
167,"LOVE SCENARIO",iKON,22327,https://open.spotify.com/track/6qAzAmPBUpGrk7XADZHR5k
168,會呼吸的痛,"Fish Leong",22283,https://open.spotify.com/track/5IgElbSREzVyqgf1OCuKJd
169,"BBoom BBoom",MOMOLAND,22033,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
170,"Midsummer Madness",88rising,22020,https://open.spotify.com/track/0wFmawqundY8rOn9sZUqA6
171,Lemon,"Kenshi Yonezu",21992,https://open.spotify.com/track/35KlorpQ6LQVVslvlcu1gN
172,Stay,Zedd,21975,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
173,十年,"Eason Chan",21724,https://open.spotify.com/track/25pWemriUQVrZ3yIiS2IBf
174,"I Miss You (feat. Julia Michaels)","Clean Bandit",21640,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
175,獨家記憶,"Jordan Chan",21640,https://open.spotify.com/track/3cSHn8YDBsq4Tlc4RXKSUe
176,"네가 남겨둔 말 Our Page",SHINee,21585,https://open.spotify.com/track/7CMvRsZOfIIM1Hg4Yyqb3k
177,"all the kids are depressed","Jeremy Zucker",21479,https://open.spotify.com/track/75ls0gurX68lUmMjE7QcsE
178,Messy,Kiiara,21457,https://open.spotify.com/track/0BOEuUKoHdy8in20fG5smd
179,"Symphony (feat. Zara Larsson)","Clean Bandit",21454,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
180,Photograph,"Ed Sheeran",21447,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
181,Attention,"Charlie Puth",21358,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
182,Patient,"Charlie Puth",21353,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
183,我喜歡上你時的内心活動,"Cheer Chen",21351,https://open.spotify.com/track/3Sk5vML32xkCFsysfuvNYl
184,"在沒有你以後 (feat. 張智成)",R-chord,21321,https://open.spotify.com/track/4mDGkFRAqaYosoyWUI7QzM
185,"We Don't Talk Anymore","Charlie Puth",21307,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
186,她說,"JJ Lin",21296,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
187,"Better Not (feat. Wafia)","Louis The Child",21089,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
188,"These Days",Rudimental,21047,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
189,可惜沒如果,"JJ Lin",21013,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
190,1950,"King Princess",20820,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
191,泡沫,G.E.M.,20803,https://open.spotify.com/track/2IfSPLPDW6RGosdB5huwAA
192,"Airplane pt.2",BTS,20784,https://open.spotify.com/track/1trFxVLL8WKhYap543e74l
193,"Say You Won't Let Go","James Arthur",20735,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
194,"Something New",TAEYEON,20627,https://open.spotify.com/track/6oDX7N6VnXSyLdyGsDP5jV
195,"I'm Yours","Jason Mraz",20625,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
196,"Self Control","Bebe Rexha",20609,https://open.spotify.com/track/14FmT2vkYihAs64ixAbk6t
197,"How Long","Charlie Puth",20358,https://open.spotify.com/track/6wmAHw1szh5RCKSRjiXhPe
198,"imagine if",gnash,20301,https://open.spotify.com/track/12gnUTEnxL6PYN06RX2Je1
199,"Sin Pijama","Becky G",20269,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
200,"rockstar (feat. 21 Savage)","Post Malone",20149,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
